,windows_run_0,window_mean
593,399.0,399.0
594,399.0,399.0
595,399.0,399.0
596,399.0,399.0
597,399.0,399.0
598,399.0,399.0
599,399.0,399.0
600,399.0,399.0
601,399.0,399.0
602,399.0,399.0
603,399.0,399.0
604,399.0,399.0
605,399.0,399.0
606,399.0,399.0
607,399.0,399.0
608,399.0,399.0
609,399.0,399.0
610,399.0,399.0
611,399.0,399.0
612,399.0,399.0
613,399.0,399.0
614,399.0,399.0
615,399.0,399.0
616,399.0,399.0
617,399.0,399.0
618,399.0,399.0
619,399.0,399.0
620,399.0,399.0
621,399.0,399.0
622,399.0,399.0
623,399.0,399.0
624,399.0,399.0
625,399.0,399.0
626,399.0,399.0
627,399.0,399.0
628,399.0,399.0
629,399.0,399.0
630,399.0,399.0
631,399.0,399.0
632,399.0,399.0
633,399.0,399.0
634,399.0,399.0
635,399.0,399.0
636,399.0,399.0
637,399.0,399.0
638,199.0,199.0
639,399.0,399.0
640,399.0,399.0
641,399.0,399.0
642,399.0,399.0
643,399.0,399.0
644,399.0,399.0
645,399.0,399.0
646,399.0,399.0
647,399.0,399.0
648,399.0,399.0
649,399.0,399.0
650,399.0,399.0
651,399.0,399.0
652,399.0,399.0
653,399.0,399.0
654,399.0,399.0
655,399.0,399.0
656,399.0,399.0
657,399.0,399.0
658,399.0,399.0
659,399.0,399.0
660,399.0,399.0
661,399.0,399.0
662,399.0,399.0
663,399.0,399.0
664,399.0,399.0
665,399.0,399.0
666,399.0,399.0
667,399.0,399.0
668,399.0,399.0
669,399.0,399.0
670,399.0,399.0
671,399.0,399.0
672,399.0,399.0
673,399.0,399.0
674,399.0,399.0
675,399.0,399.0
676,282.0,282.0
677,282.0,282.0
678,399.0,399.0
679,399.0,399.0
680,399.0,399.0
681,199.0,199.0
682,399.0,399.0
683,399.0,399.0
684,399.0,399.0
685,399.0,399.0
686,399.0,399.0
687,399.0,399.0
688,399.0,399.0
689,399.0,399.0
690,399.0,399.0
691,399.0,399.0
692,399.0,399.0
693,399.0,399.0
694,399.0,399.0
695,399.0,399.0
696,399.0,399.0
697,399.0,399.0
698,399.0,399.0
699,399.0,399.0
700,399.0,399.0
701,399.0,399.0
702,282.0,282.0
703,399.0,399.0
704,199.0,199.0
705,399.0,399.0
706,399.0,399.0
707,282.0,282.0
708,399.0,399.0
709,399.0,399.0
710,399.0,399.0
711,399.0,399.0
712,399.0,399.0
713,399.0,399.0
714,399.0,399.0
715,399.0,399.0
716,399.0,399.0
717,399.0,399.0
718,399.0,399.0
719,399.0,399.0
720,399.0,399.0
721,399.0,399.0
722,399.0,399.0
723,399.0,399.0
724,399.0,399.0
725,399.0,399.0
726,399.0,399.0
727,399.0,399.0
728,399.0,399.0
729,399.0,399.0
730,399.0,399.0
731,399.0,399.0
732,399.0,399.0
733,399.0,399.0
734,399.0,399.0
735,399.0,399.0
736,399.0,399.0
737,399.0,399.0
738,399.0,399.0
739,399.0,399.0
740,399.0,399.0
741,399.0,399.0
742,399.0,399.0
743,399.0,399.0
744,399.0,399.0
745,399.0,399.0
746,399.0,399.0
747,399.0,399.0
748,399.0,399.0
749,399.0,399.0
750,399.0,399.0
751,399.0,399.0
752,399.0,399.0
753,399.0,399.0
754,399.0,399.0
755,399.0,399.0
756,399.0,399.0
757,399.0,399.0
758,399.0,399.0
759,399.0,399.0
760,399.0,399.0
761,399.0,399.0
762,399.0,399.0
