windows_run_0,windows_run_1,window_mean
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
100,75,87.5
100,75,87.5
75,100,87.5
100,100,100.0
50,100,75.0
100,100,100.0
100,100,100.0
100,100,100.0
50,100,75.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
100,200,150.0
100,50,75.0
225,125,175.0
125,125,125.0
300,100,200.0
300,125,212.5
75,125,100.0
200,75,137.5
75,75,75.0
125,200,162.5
75,75,75.0
75,75,75.0
75,200,137.5
150,125,137.5
50,225,137.5
100,125,112.5
150,150,150.0
225,125,175.0
125,125,125.0
150,150,150.0
125,225,175.0
150,75,112.5
225,150,187.5
150,150,150.0
75,300,187.5
150,150,150.0
150,150,150.0
225,150,187.5
150,150,150.0
300,150,225.0
150,200,175.0
150,150,150.0
300,150,225.0
150,400,275.0
150,150,150.0
150,150,150.0
375,350,362.5
150,100,125.0
225,75,150.0
200,150,175.0
100,100,100.0
100,150,125.0
100,350,225.0
175,100,137.5
100,100,100.0
175,225,200.0
225,400,312.5
175,150,162.5
100,450,275.0
100,150,125.0
175,150,162.5
375,225,300.0
175,50,112.5
175,175,175.0
150,175,162.5
350,250,300.0
50,50,50.0
250,175,212.5
175,175,175.0
275,325,300.0
225,250,237.5
100,175,137.5
175,175,175.0
175,175,175.0
175,175,175.0
175,175,175.0
125,175,150.0
175,175,175.0
175,175,175.0
175,100,137.5
250,125,187.5
75,200,137.5
50,375,212.5
50,50,50.0
50,75,62.5
200,275,237.5
75,75,75.0
125,125,125.0
50,200,125.0
75,275,175.0
125,75,100.0
125,200,162.5
375,125,250.0
200,75,137.5
125,50,87.5
200,75,137.5
50,125,87.5
50,125,87.5
125,75,100.0
75,200,137.5
475,100,287.5
75,75,75.0
350,125,237.5
200,75,137.5
75,400,237.5
150,75,112.5
150,200,175.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,300,175.0
50,75,62.5
75,75,75.0
75,50,62.5
50,50,50.0
75,75,75.0
75,75,75.0
50,75,62.5
50,75,62.5
75,50,62.5
75,75,75.0
75,75,75.0
75,50,62.5
75,350,212.5
75,50,62.5
75,75,75.0
100,75,87.5
100,100,100.0
50,100,75.0
75,425,250.0
150,150,150.0
100,175,137.5
350,475,412.5
100,100,100.0
75,100,87.5
450,100,275.0
150,100,125.0
100,150,125.0
100,50,75.0
50,50,50.0
75,100,87.5
50,275,162.5
100,50,75.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,450,250.0
50,75,62.5
50,75,62.5
75,50,62.5
50,50,50.0
50,50,50.0
50,450,250.0
50,50,50.0
150,50,100.0
425,100,262.5
50,500,275.0
50,75,62.5
50,100,75.0
50,350,200.0
50,100,75.0
150,100,125.0
375,150,262.5
75,575,325.0
75,150,112.5
400,150,275.0
75,350,212.5
100,225,162.5
75,150,112.5
375,100,237.5
150,150,150.0
100,100,100.0
450,100,275.0
75,100,87.5
75,75,75.0
75,75,75.0
500,300,400.0
75,75,75.0
225,550,387.5
50,150,100.0
75,100,87.5
50,575,312.5
150,50,100.0
150,475,312.5
350,75,212.5
75,75,75.0
325,100,212.5
150,100,125.0
100,425,262.5
100,75,87.5
100,100,100.0
100,100,100.0
175,525,350.0
100,100,100.0
100,100,100.0
100,125,112.5
150,500,325.0
