dataset,method,feature,pearson,spearman
trend_season,Adaptive SHAP,lag_t-1,0.25798726114619963,0.2395194686828838
trend_season,Adaptive SHAP,lag_t-2,0.5012120638749435,0.4533699334013398
trend_season,Adaptive SHAP,lag_t-3,0.4522596666828811,0.408316698233303
trend_season,Adaptive (Smoothed),lag_t-1,0.26045493810436704,0.2368286806013216
trend_season,Adaptive (Smoothed),lag_t-2,0.49750794677505655,0.44663476956746606
trend_season,Adaptive (Smoothed),lag_t-3,0.47404137940975655,0.4261696398205802
spike_process,Vanilla SHAP,lag_t-1,0.04436310100239721,0.034814081802735194
spike_process,Vanilla SHAP,lag_t-2,0.049288997635654294,0.05292754466413521
spike_process,Vanilla SHAP,lag_t-3,0.06837708660817746,0.06832352436199697
spike_process,Vanilla SHAP,Z_0,0.0621363817225047,0.07864934207100467
spike_process,Vanilla SHAP,Z_1,0.0161472206410099,0.0008903699102377886
spike_process,TimeShap,lag_t-1,0.1361308006002949,0.13282278629703512
spike_process,TimeShap,lag_t-2,0.12225869026475483,0.12143037963305506
spike_process,TimeShap,lag_t-3,0.1280872138045239,0.11676133671942186
spike_process,Rolling SHAP,lag_t-1,0.08015112838575977,0.06551161967261022
spike_process,Rolling SHAP,lag_t-2,0.04318723044143438,0.021702540239914806
spike_process,Rolling SHAP,lag_t-3,0.05581769622438636,0.028418136868693142
spike_process,Rolling SHAP,Z_0,0.5116097953392622,0.5852314655812427
spike_process,Rolling SHAP,Z_1,0.5356354590501655,0.6338920762987916
spike_process,Adaptive (Max),lag_t-1,0.1696451860880746,0.139876758838807
spike_process,Adaptive (Max),lag_t-2,0.03280425174533139,0.08184199934168881
spike_process,Adaptive (Max),lag_t-3,0.28566914611223465,0.31444596482867615
spike_process,Adaptive (Max),Z_0,0.3669410221627771,0.5159440667245708
spike_process,Adaptive (Max),Z_1,0.39143527704400427,0.4363898058676361
spike_process,Adaptive (Mean),lag_t-1,0.02013093041118175,0.04113261648463713
spike_process,Adaptive (Mean),lag_t-2,0.07559461387276883,0.06409462633076399
spike_process,Adaptive (Mean),lag_t-3,0.043350501579253915,0.05493032037395011
spike_process,Adaptive (Mean),Z_0,0.5177297400603218,0.6488507974763549
spike_process,Adaptive (Mean),Z_1,0.5657558917918472,0.6320808862496969
spike_process,Adaptive SHAP,lag_t-1,0.17002621449901748,0.17004210348228765
spike_process,Adaptive SHAP,lag_t-2,0.252560579433981,0.24418703944490183
spike_process,Adaptive SHAP,lag_t-3,0.2520149551976045,0.2524136864280364
spike_process,Adaptive SHAP,Z_0,0.08123477078606284,0.16043661976315987
spike_process,Adaptive SHAP,Z_1,0.3408896284085052,0.30130674243640665
spike_process,Adaptive (Smoothed),lag_t-1,0.1799460548953603,0.17570893713061525
spike_process,Adaptive (Smoothed),lag_t-2,0.22821788793472725,0.2231814203559018
spike_process,Adaptive (Smoothed),lag_t-3,0.21942353116685775,0.21563337126635498
spike_process,Adaptive (Smoothed),Z_0,0.07077702537201944,0.17521737858554481
spike_process,Adaptive (Smoothed),Z_1,0.3477188586997977,0.31423565550798455
garch_regime,Vanilla SHAP,lag_t-1,0.09050013768653076,0.0683262054218537
garch_regime,Vanilla SHAP,Z_0,0.000869217058149914,0.006234457913492248
garch_regime,TimeShap,lag_t-1,0.003829158887840009,0.03919815205451382
garch_regime,Rolling SHAP,lag_t-1,0.11012927228214435,0.09638210106220818
garch_regime,Rolling SHAP,Z_0,0.3359200910980572,0.32760416841907974
garch_regime,Adaptive (Max),lag_t-1,0.17640831374089078,0.18124792640503853
garch_regime,Adaptive (Max),Z_0,0.39395045951598984,0.4179993403708382
garch_regime,Adaptive (Mean),lag_t-1,0.13186213590846085,0.1337558755565264
garch_regime,Adaptive (Mean),Z_0,0.5244625609787128,0.5396416338123566
garch_regime,Adaptive SHAP,lag_t-1,0.02881792915628504,0.018163794049645316
garch_regime,Adaptive SHAP,Z_0,0.20588090790638466,0.1331004348217771
garch_regime,Adaptive (Smoothed),lag_t-1,0.007929283424492638,0.05021624462497361
garch_regime,Adaptive (Smoothed),Z_0,0.20934309674262574,0.14313314619510117
