Date,N,windows,scaled_windows,MSE,RMSE
573,-0.0112405527543627,35,0.06097560975609756,0,0
574,0.5841825922580364,35,0.06086956521739131,0,0
575,0.1223532131693141,576,1.0,0,0
576,2.197788562323657,35,0.060658578856152515,0,0
577,-1.6590436407268874,578,1.0,0,0
578,2.3851330959695844,579,1.0,0,0
579,0.152854331194872,35,0.0603448275862069,0,0
580,3.9629474627376897,49,0.08433734939759036,0,0
581,-0.3380754879170826,35,0.06013745704467354,0,0
582,5.156139546031321,565,0.9691252144082333,0,0
583,0.8808705585001507,565,0.9674657534246576,0,0
584,5.828295331247818,35,0.05982905982905983,0,0
585,1.11672203860938,99,0.1689419795221843,0,0
586,6.27560676355546,49,0.08347529812606473,0,0
587,2.041228972083112,35,0.05952380952380952,0,0
588,5.077231739773216,49,0.0831918505942275,0,0
589,-0.7513352149861299,399,0.676271186440678,0,0
590,5.724456820413136,99,0.16751269035532995,0,0
591,0.4984157596611914,282,0.47635135135135137,0,0
592,5.902002458924963,99,0.16694772344013492,0,0
593,0.1705804100829498,99,0.16666666666666666,0,0
594,4.922585560125402,35,0.058823529411764705,0,0
595,-1.301678985073749,70,0.1174496644295302,0,0
596,6.052673742420369,35,0.05862646566164154,0,0
597,-1.134739267967536,70,0.11705685618729098,0,0
598,6.279386852277044,35,0.05843071786310518,0,0
599,-1.2326127707689785,70,0.11666666666666667,0,0
600,3.2903410867115848,70,0.11647254575707154,0,0
601,-0.2051701042084122,70,0.11627906976744186,0,0
602,4.180333932559884,99,0.16417910447761194,0,0
603,1.767969390742718,99,0.16390728476821192,0,0
604,3.68410729245419,49,0.08099173553719008,0,0
605,1.2113343294984775,99,0.16336633663366337,0,0
606,3.516854634296732,35,0.057660626029654036,0,0
607,0.140331535226811,99,0.16282894736842105,0,0
608,2.320714536438053,49,0.08045977011494253,0,0
609,0.814009090752299,99,0.16229508196721312,0,0
610,1.8795770542167851,99,0.16202945990180032,0,0
611,0.2603782098948021,282,0.46078431372549017,0,0
612,2.106202367987671,399,0.6508972267536705,0,0
613,-0.0608613969308004,99,0.16123778501628663,0,0
614,4.318584256868682,282,0.4585365853658537,0,0
615,-0.271319334272907,70,0.11363636363636363,0,0
616,5.446577152306026,49,0.07941653160453808,0,0
617,0.5646965200289904,70,0.11326860841423948,0,0
618,5.888597178879962,49,0.0791599353796446,0,0
619,0.9892723922860348,99,0.1596774193548387,0,0
620,5.177778801620874,49,0.07890499194847021,0,0
621,1.0116893106013074,70,0.11254019292604502,0,0
622,4.085075584798783,49,0.07865168539325842,0,0
623,1.3834515681207225,99,0.15865384615384615,0,0
624,4.679638543295927,49,0.0784,0,0
625,-1.095993415497733,99,0.15814696485623003,0,0
626,2.9536813836961953,70,0.11164274322169059,0,0
627,-2.102807462322092,70,0.11146496815286625,0,0
628,3.2798091072744304,70,0.11128775834658187,0,0
629,-1.2045495292255617,99,0.15714285714285714,0,0
630,2.5060119087506907,99,0.15689381933438987,0,0
631,0.4788866389318074,99,0.15664556962025317,0,0
632,1.8676408142944856,70,0.11058451816745656,0,0
633,1.0139676741196628,70,0.11041009463722397,0,0
634,2.4920324355804535,99,0.15590551181102363,0,0
635,0.792141280126613,99,0.15566037735849056,0,0
636,3.2990643966072875,99,0.1554160125588697,0,0
637,0.3980467143083507,70,0.109717868338558,0,0
638,2.9582772821869088,99,0.15492957746478872,0,0
639,0.5276684038085747,99,0.1546875,0,0
640,3.4235078366762735,99,0.1544461778471139,0,0
641,1.9717284197458025,70,0.10903426791277258,0,0
642,2.342384843517651,282,0.4385692068429238,0,0
643,0.4465543427235885,99,0.15372670807453417,0,0
644,2.7912211455528233,99,0.15348837209302327,0,0
645,-1.6489075886944025,99,0.15325077399380804,0,0
646,2.5455427915225033,70,0.10819165378670788,0,0
647,-0.8562184510389284,70,0.10802469135802469,0,0
648,0.5068592942154215,70,0.10785824345146379,0,0
649,-1.58538869229407,99,0.1523076923076923,0,0
650,0.1187212168564995,99,0.15207373271889402,0,0
651,-1.5422791007818613,399,0.6119631901840491,0,0
652,0.0678757452175268,399,0.6110260336906586,0,0
653,-0.9905414088883284,399,0.6100917431192661,0,0
654,0.7243867343242836,99,0.15114503816793892,0,0
655,-2.468655028732365,99,0.15091463414634146,0,0
656,1.861676412814797,99,0.1506849315068493,0,0
657,-2.486363198096397,199,0.30243161094224924,0,0
658,1.205173995951335,141,0.21396054628224584,0,0
659,-1.0984430999721493,141,0.21363636363636362,0,0
660,0.5075667915110771,282,0.4266263237518911,0,0
661,-1.8508643840701369,70,0.10574018126888217,0,0
662,-1.4630748204998467,399,0.6018099547511312,0,0
663,-0.4176425897275615,141,0.21234939759036145,0,0
664,-3.1257357772828422,141,0.21203007518796993,0,0
665,-1.7398856839845016,141,0.21171171171171171,0,0
666,-4.964272988608197,35,0.05247376311844078,0,0
667,-2.0472673007198714,141,0.21107784431137724,0,0
668,-6.375050348513838,141,0.21076233183856502,0,0
669,-0.7832055870875485,35,0.05223880597014925,0,0
670,-6.454489384895155,49,0.07302533532041729,0,0
671,-2.001328084988563,99,0.14732142857142858,0,0
672,-5.460296481142801,49,0.07280832095096583,0,0
673,-2.9981487728597145,99,0.14688427299703263,0,0
674,-5.090643293450568,35,0.05185185185185185,0,0
675,-1.894077706001477,141,0.20857988165680474,0,0
676,-5.434823824017591,99,0.14623338257016247,0,0
677,-2.181274597908224,399,0.588495575221239,0,0
678,-5.672826278534062,49,0.07216494845360824,0,0
679,-2.3866718675176215,70,0.10294117647058823,0,0
680,-2.0929790051017103,35,0.0513950073421439,0,0
681,-4.357678998419379,99,0.14516129032258066,0,0
682,-1.0378891577496887,35,0.05124450951683748,0,0
683,-3.89478648054764,35,0.05116959064327485,0,0
684,-1.7130355798632162,35,0.051094890510948905,0,0
685,-2.5154313332595493,399,0.5816326530612245,0,0
686,-0.3549526533217326,399,0.5807860262008734,0,0
687,-3.1836312981175987,35,0.050872093023255814,0,0
688,-0.463897380519009,35,0.05079825834542816,0,0
689,-3.4827899304086394,35,0.050724637681159424,0,0
690,-0.0322272035262072,35,0.05065123010130246,0,0
691,-2.959711779840137,35,0.05057803468208093,0,0
692,-0.1100912100413417,49,0.0707070707070707,0,0
693,-2.2333220261694726,35,0.05043227665706052,0,0
694,0.3611824947705508,49,0.07050359712230216,0,0
695,-0.5196267887722115,35,0.05028735632183908,0,0
696,-0.5632329661264432,282,0.40459110473457677,0,0
697,-0.5334774238698707,99,0.14183381088825214,0,0
698,1.9325276997590144,99,0.14163090128755365,0,0
699,-1.1018282457082442,282,0.40285714285714286,0,0
700,2.956383187969667,399,0.5691868758915835,0,0
701,-1.9194557813546385,199,0.28347578347578345,0,0
702,3.3593338681857023,282,0.4011379800853485,0,0
703,-1.835976385985418,70,0.09943181818181818,0,0
704,3.3981454970676555,70,0.09929078014184398,0,0
705,-1.8739176766763213,70,0.09915014164305949,0,0
