,windows_run_0,window_mean
618,424.0,424.0
619,212.0,212.0
620,424.0,424.0
621,212.0,212.0
622,212.0,212.0
623,212.0,212.0
624,212.0,212.0
625,212.0,212.0
626,424.0,424.0
627,212.0,212.0
628,212.0,212.0
629,212.0,212.0
630,212.0,212.0
631,212.0,212.0
632,212.0,212.0
633,212.0,212.0
634,212.0,212.0
635,424.0,424.0
636,212.0,212.0
637,212.0,212.0
638,212.0,212.0
639,212.0,212.0
640,212.0,212.0
641,212.0,212.0
642,212.0,212.0
643,212.0,212.0
644,424.0,424.0
645,212.0,212.0
646,299.0,299.0
647,299.0,299.0
648,424.0,424.0
649,212.0,212.0
650,424.0,424.0
651,212.0,212.0
652,212.0,212.0
653,212.0,212.0
654,424.0,424.0
655,212.0,212.0
656,424.0,424.0
657,424.0,424.0
658,424.0,424.0
659,299.0,299.0
660,299.0,299.0
661,424.0,424.0
662,424.0,424.0
663,424.0,424.0
664,299.0,299.0
665,424.0,424.0
666,299.0,299.0
667,424.0,424.0
668,299.0,299.0
669,424.0,424.0
670,424.0,424.0
671,424.0,424.0
672,299.0,299.0
673,424.0,424.0
674,299.0,299.0
675,424.0,424.0
676,424.0,424.0
677,424.0,424.0
678,424.0,424.0
679,424.0,424.0
680,424.0,424.0
681,299.0,299.0
682,424.0,424.0
683,299.0,299.0
684,424.0,424.0
685,424.0,424.0
686,424.0,424.0
687,424.0,424.0
688,299.0,299.0
689,424.0,424.0
690,424.0,424.0
691,299.0,299.0
692,424.0,424.0
693,299.0,299.0
694,424.0,424.0
695,424.0,424.0
696,424.0,424.0
697,424.0,424.0
698,299.0,299.0
699,424.0,424.0
700,424.0,424.0
701,424.0,424.0
702,299.0,299.0
703,299.0,299.0
704,424.0,424.0
705,424.0,424.0
706,424.0,424.0
707,424.0,424.0
708,424.0,424.0
709,424.0,424.0
710,424.0,424.0
711,299.0,299.0
712,424.0,424.0
713,424.0,424.0
714,424.0,424.0
715,424.0,424.0
716,424.0,424.0
717,424.0,424.0
718,212.0,212.0
719,299.0,299.0
720,299.0,299.0
721,299.0,299.0
722,424.0,424.0
723,424.0,424.0
724,299.0,299.0
725,424.0,424.0
726,424.0,424.0
727,424.0,424.0
728,424.0,424.0
729,299.0,299.0
730,299.0,299.0
731,299.0,299.0
732,424.0,424.0
733,299.0,299.0
734,424.0,424.0
735,424.0,424.0
736,424.0,424.0
737,424.0,424.0
738,424.0,424.0
739,299.0,299.0
740,424.0,424.0
741,299.0,299.0
742,424.0,424.0
743,299.0,299.0
744,424.0,424.0
745,299.0,299.0
746,424.0,424.0
747,424.0,424.0
748,299.0,299.0
749,424.0,424.0
750,424.0,424.0
751,299.0,299.0
752,424.0,424.0
753,424.0,424.0
754,424.0,424.0
755,424.0,424.0
756,424.0,424.0
757,299.0,299.0
758,299.0,299.0
759,424.0,424.0
760,299.0,299.0
761,299.0,299.0
762,299.0,299.0
763,424.0,424.0
764,424.0,424.0
765,424.0,424.0
766,424.0,424.0
767,299.0,299.0
768,424.0,424.0
769,424.0,424.0
770,424.0,424.0
771,424.0,424.0
772,424.0,424.0
773,299.0,299.0
774,299.0,299.0
775,424.0,424.0
776,424.0,424.0
777,299.0,299.0
778,424.0,424.0
779,424.0,424.0
780,424.0,424.0
781,424.0,424.0
782,424.0,424.0
783,424.0,424.0
784,424.0,424.0
785,424.0,424.0
786,424.0,424.0
787,424.0,424.0
788,424.0,424.0
789,424.0,424.0
790,424.0,424.0
791,424.0,424.0
792,424.0,424.0
793,424.0,424.0
794,424.0,424.0
795,424.0,424.0
796,424.0,424.0
797,424.0,424.0
798,424.0,424.0
799,424.0,424.0
800,424.0,424.0
801,424.0,424.0
802,424.0,424.0
803,424.0,424.0
804,424.0,424.0
805,424.0,424.0
806,424.0,424.0
807,424.0,424.0
808,424.0,424.0
809,424.0,424.0
810,424.0,424.0
811,424.0,424.0
812,424.0,424.0
813,424.0,424.0
814,424.0,424.0
815,424.0,424.0
816,424.0,424.0
817,424.0,424.0
818,424.0,424.0
819,424.0,424.0
820,424.0,424.0
821,424.0,424.0
822,424.0,424.0
823,424.0,424.0
824,424.0,424.0
825,424.0,424.0
826,424.0,424.0
827,424.0,424.0
828,424.0,424.0
829,424.0,424.0
830,424.0,424.0
831,424.0,424.0
832,424.0,424.0
833,424.0,424.0
834,424.0,424.0
835,424.0,424.0
836,424.0,424.0
837,424.0,424.0
838,424.0,424.0
839,424.0,424.0
840,424.0,424.0
841,424.0,424.0
842,424.0,424.0
843,424.0,424.0
844,424.0,424.0
845,424.0,424.0
846,424.0,424.0
847,599.0,599.0
848,424.0,424.0
849,424.0,424.0
850,424.0,424.0
851,599.0,599.0
852,599.0,599.0
853,599.0,599.0
854,599.0,599.0
855,424.0,424.0
856,599.0,599.0
857,599.0,599.0
858,599.0,599.0
859,424.0,424.0
860,424.0,424.0
861,424.0,424.0
862,424.0,424.0
863,599.0,599.0
864,599.0,599.0
865,599.0,599.0
866,424.0,424.0
867,424.0,424.0
868,424.0,424.0
869,424.0,424.0
870,424.0,424.0
871,599.0,599.0
872,599.0,599.0
873,424.0,424.0
874,424.0,424.0
875,599.0,599.0
876,599.0,599.0
877,424.0,424.0
878,424.0,424.0
879,599.0,599.0
880,424.0,424.0
881,424.0,424.0
882,424.0,424.0
883,424.0,424.0
