Date,N,windows,scaled_windows,MSE,RMSE
617,0.5646965200289904,70,0.11326860841423948,0,0
618,5.888597178879962,49,0.0791599353796446,0,0
619,0.9892723922860348,70,0.11290322580645161,0,0
620,5.177778801620874,49,0.07890499194847021,0,0
621,1.0116893106013074,49,0.07877813504823152,0,0
622,4.085075584798783,35,0.056179775280898875,0,0
623,1.3834515681207225,141,0.22596153846153846,0,0
624,4.679638543295927,49,0.0784,0,0
625,-1.095993415497733,99,0.15814696485623003,0,0
626,2.9536813836961953,70,0.11164274322169059,0,0
627,-2.102807462322092,70,0.11146496815286625,0,0
628,3.2798091072744304,99,0.1573926868044515,0,0
629,-1.2045495292255617,70,0.1111111111111111,0,0
630,2.5060119087506907,70,0.1109350237717908,0,0
631,0.4788866389318074,70,0.11075949367088607,0,0
632,1.8676408142944856,35,0.05529225908372828,0,0
633,1.0139676741196628,70,0.11041009463722397,0,0
634,2.4920324355804535,70,0.11023622047244094,0,0
635,0.792141280126613,70,0.11006289308176101,0,0
636,3.2990643966072875,99,0.1554160125588697,0,0
637,0.3980467143083507,99,0.15517241379310345,0,0
638,2.9582772821869088,99,0.15492957746478872,0,0
639,0.5276684038085747,70,0.109375,0,0
640,3.4235078366762735,70,0.10920436817472699,0,0
641,1.9717284197458025,70,0.10903426791277258,0,0
642,2.342384843517651,99,0.15396578538102643,0,0
643,0.4465543427235885,99,0.15372670807453417,0,0
644,2.7912211455528233,99,0.15348837209302327,0,0
645,-1.6489075886944025,70,0.10835913312693499,0,0
646,2.5455427915225033,70,0.10819165378670788,0,0
647,-0.8562184510389284,70,0.10802469135802469,0,0
648,0.5068592942154215,99,0.15254237288135594,0,0
649,-1.58538869229407,35,0.05384615384615385,0,0
650,0.1187212168564995,282,0.43317972350230416,0,0
651,-1.5422791007818613,99,0.15184049079754602,0,0
652,0.0678757452175268,99,0.15160796324655437,0,0
653,-0.9905414088883284,99,0.15137614678899083,0,0
654,0.7243867343242836,99,0.15114503816793892,0,0
655,-2.468655028732365,99,0.15091463414634146,0,0
656,1.861676412814797,282,0.4292237442922374,0,0
657,-2.486363198096397,141,0.21428571428571427,0,0
658,1.205173995951335,70,0.1062215477996965,0,0
659,-1.0984430999721493,99,0.15,0,0
660,0.5075667915110771,70,0.1059001512859304,0,0
661,-1.8508643840701369,99,0.14954682779456194,0,0
662,-1.4630748204998467,35,0.05279034690799397,0,0
663,-0.4176425897275615,35,0.05271084337349398,0,0
664,-3.1257357772828422,49,0.07368421052631578,0,0
665,-1.7398856839845016,49,0.07357357357357357,0,0
666,-4.964272988608197,49,0.0734632683658171,0,0
667,-2.0472673007198714,141,0.21107784431137724,0,0
668,-6.375050348513838,35,0.052316890881913304,0,0
669,-0.7832055870875485,35,0.05223880597014925,0,0
670,-6.454489384895155,49,0.07302533532041729,0,0
671,-2.001328084988563,49,0.07291666666666667,0,0
672,-5.460296481142801,49,0.07280832095096583,0,0
673,-2.9981487728597145,35,0.05192878338278932,0,0
674,-5.090643293450568,35,0.05185185185185185,0,0
675,-1.894077706001477,35,0.051775147928994084,0,0
676,-5.434823824017591,35,0.051698670605613,0,0
677,-2.181274597908224,35,0.051622418879056046,0,0
678,-5.672826278534062,35,0.05154639175257732,0,0
679,-2.3866718675176215,49,0.07205882352941176,0,0
680,-2.0929790051017103,35,0.0513950073421439,0,0
681,-4.357678998419379,35,0.051319648093841645,0,0
682,-1.0378891577496887,35,0.05124450951683748,0,0
683,-3.89478648054764,199,0.2909356725146199,0,0
684,-1.7130355798632162,35,0.051094890510948905,0,0
685,-2.5154313332595493,35,0.05102040816326531,0,0
686,-0.3549526533217326,35,0.050946142649199416,0,0
687,-3.1836312981175987,70,0.10174418604651163,0,0
688,-0.463897380519009,35,0.05079825834542816,0,0
689,-3.4827899304086394,35,0.050724637681159424,0,0
690,-0.0322272035262072,35,0.05065123010130246,0,0
691,-2.959711779840137,35,0.05057803468208093,0,0
692,-0.1100912100413417,49,0.0707070707070707,0,0
693,-2.2333220261694726,35,0.05043227665706052,0,0
694,0.3611824947705508,35,0.050359712230215826,0,0
695,-0.5196267887722115,35,0.05028735632183908,0,0
696,-0.5632329661264432,49,0.0703012912482066,0,0
697,-0.5334774238698707,70,0.10028653295128939,0,0
698,1.9325276997590144,70,0.10014306151645208,0,0
699,-1.1018282457082442,70,0.1,0,0
700,2.956383187969667,399,0.5691868758915835,0,0
701,-1.9194557813546385,199,0.28347578347578345,0,0
702,3.3593338681857023,282,0.4011379800853485,0,0
703,-1.835976385985418,282,0.4005681818181818,0,0
704,3.3981454970676555,70,0.09929078014184398,0,0
705,-1.8739176766763213,70,0.09915014164305949,0,0
706,4.320616127577793,282,0.3988684582743989,0,0
707,-1.644489768626449,35,0.04943502824858757,0,0
708,3.688507233654745,70,0.09873060648801128,0,0
709,-0.9207775934778152,70,0.09859154929577464,0,0
710,2.5877204487196384,199,0.279887482419128,0,0
711,-3.1030888977088797,35,0.04915730337078652,0,0
712,0.7888081574797463,35,0.04908835904628331,0,0
713,-3.475101016411677,35,0.049019607843137254,0,0
714,2.365579777232672,35,0.04895104895104895,0,0
715,-0.813420322402922,35,0.04888268156424581,0,0
716,0.7433764951176061,35,0.04881450488145049,0,0
717,-0.5358714231477167,35,0.04874651810584958,0,0
718,-0.0221220374876428,35,0.048678720445062586,0,0
719,-0.2195014371172823,35,0.04861111111111111,0,0
720,-1.308825261267667,35,0.04854368932038835,0,0
721,0.1518466761602481,35,0.04847645429362881,0,0
722,-1.9748082018635615,49,0.0677731673582296,0,0
723,-1.0855989272150268,35,0.04834254143646409,0,0
724,-2.441014301516633,49,0.06758620689655172,0,0
725,-3.034980980581145,35,0.048209366391184574,0,0
726,-1.560623377012511,99,0.1361760660247593,0,0
727,-3.626899951263973,99,0.13598901098901098,0,0
728,0.0276950275022069,99,0.13580246913580246,0,0
729,-2.4388443510684423,49,0.06712328767123288,0,0
730,1.2041258221392444,99,0.1354309165526676,0,0
731,-2.5836931423993734,99,0.13524590163934427,0,0
732,2.3691953842067734,70,0.09549795361527967,0,0
733,-0.9587744597383988,70,0.09536784741144415,0,0
734,1.711194765194374,282,0.3836734693877551,0,0
735,-0.7437023499348057,70,0.09510869565217392,0,0
736,2.9930717403462905,282,0.38263229308005425,0,0
737,-0.4463302272496409,70,0.0948509485094851,0,0
738,1.9818009394104152,49,0.06630581867388363,0,0
739,0.7526571382166247,49,0.06621621621621622,0,0
740,3.0193016402521913,49,0.06612685560053981,0,0
741,-0.1549412700844016,282,0.38005390835579517,0,0
742,3.1836989665401236,49,0.06594885598923284,0,0
743,-0.0390958814668609,49,0.06586021505376344,0,0
744,4.01711808447296,49,0.06577181208053691,0,0
745,-0.69196279133069,282,0.3780160857908847,0,0
746,4.955206346626844,199,0.26639892904953144,0,0
747,0.418918470030701,282,0.3770053475935829,0,0
748,4.096636377399068,49,0.06542056074766354,0,0
749,-0.0680745622233628,282,0.376,0,0
750,2.5235882207447418,70,0.09320905459387484,0,0
751,1.4544793178172382,70,0.09308510638297872,0,0
752,1.3270704440406065,70,0.09296148738379814,0,0
753,1.1721684403356252,70,0.09283819628647215,0,0
754,3.157813553623588,35,0.046357615894039736,0,0
755,1.9256553506065428,49,0.06481481481481481,0,0
756,3.207328906965417,35,0.046235138705416116,0,0
757,2.0747627252335645,35,0.04617414248021108,0,0
758,2.745701418313329,35,0.0461133069828722,0,0
759,0.5548885743192167,35,0.046052631578947366,0,0
760,3.1012497869420748,35,0.045992115637319315,0,0
761,-0.5618408776272263,35,0.045931758530183726,0,0
762,4.975979034421325,35,0.045871559633027525,0,0
763,-2.039983541581481,35,0.04581151832460733,0,0
764,4.183858998351336,70,0.0915032679738562,0,0
765,-1.6894038637901314,35,0.04569190600522193,0,0
766,3.140494646849615,70,0.09126466753585398,0,0
767,-1.390140767348702,35,0.045572916666666664,0,0
768,3.517911066350042,35,0.045513654096228866,0,0
769,0.3105425311438137,35,0.045454545454545456,0,0
770,3.336127408120299,70,0.0907911802853437,0,0
771,0.3730668521646887,70,0.09067357512953368,0,0
772,3.4120875417364767,70,0.09055627425614489,0,0
773,0.4874633759188009,70,0.09043927648578812,0,0
774,2.362638165763957,399,0.5148387096774194,0,0
775,0.5372176523081758,99,0.12757731958762886,0,0
776,3.4284603508724754,99,0.1274131274131274,0,0
777,0.6845171307669988,49,0.06298200514138817,0,0
778,3.1362665973300103,35,0.044929396662387676,0,0
779,0.5837206414589805,35,0.04487179487179487,0,0
780,3.452213645428328,99,0.1267605633802817,0,0
781,1.0475301769704286,99,0.1265984654731458,0,0
782,3.6146855536200087,35,0.04469987228607918,0,0
783,0.7201592228261493,282,0.3596938775510204,0,0
784,0.937045442007976,282,0.3592356687898089,0,0
785,0.096094334163939,49,0.062340966921119595,0,0
786,0.8407904687181414,99,0.12579415501905972,0,0
787,-0.7894391147299483,282,0.35786802030456855,0,0
788,1.460864402444921,99,0.12547528517110265,0,0
789,-1.5668988691612964,282,0.3569620253164557,0,0
790,-0.9169446641500056,282,0.35651074589127685,0,0
791,-0.5502559597891,99,0.125,0,0
792,-1.06069811973405,99,0.12484237074401008,0,0
793,-0.488885630238497,99,0.12468513853904283,0,0
794,-2.7362491741693207,49,0.061635220125786164,0,0
795,-0.8213120769098154,35,0.04396984924623116,0,0
796,-2.606074945415388,35,0.043914680050188205,0,0
797,-0.7049501453983148,399,0.5,0,0
798,-1.435282550390387,35,0.04380475594493116,0,0
799,-1.3011095407414643,99,0.12375,0,0
800,-1.5272664612101412,99,0.12359550561797752,0,0
801,0.5254585959879259,99,0.12344139650872818,0,0
802,-1.5161815089606672,35,0.043586550435865505,0,0
803,1.9092996450171975,35,0.043532338308457715,0,0
804,-3.085069634568484,282,0.35031055900621116,0,0
805,1.510863535375531,35,0.043424317617866005,0,0
806,-1.482963885531707,35,0.04337050805452292,0,0
807,2.0344730318374395,70,0.08663366336633663,0,0
808,0.2485156725884545,35,0.04326328800988875,0,0
809,1.4679942409302669,35,0.043209876543209874,0,0
810,0.4117376202854569,35,0.04315659679408138,0,0
811,-1.030326801939191,35,0.04310344827586207,0,0
812,-1.0228246958981484,35,0.04305043050430504,0,0
813,-0.3879368673203456,35,0.042997542997543,0,0
814,-1.5506844113335734,49,0.06012269938650307,0,0
815,0.4931602934945729,35,0.0428921568627451,0,0
816,-1.6865816866553571,35,0.042839657282741736,0,0
817,0.9729383260404756,35,0.042787286063569685,0,0
818,-2.3396923930405475,35,0.042735042735042736,0,0
819,-0.2070866053373525,70,0.08536585365853659,0,0
820,-0.9942072748030676,35,0.04263093788063337,0,0
821,0.3636917285553637,49,0.05961070559610705,0,0
822,-0.8722391995509371,399,0.4848116646415553,0,0
823,1.1669591478049908,141,0.17111650485436894,0,0
824,0.1419338193561596,35,0.04242424242424243,0,0
825,2.2055247617537237,35,0.0423728813559322,0,0
826,-0.156040600985719,141,0.17049576783555018,0,0
827,1.2473832670476988,35,0.042270531400966184,0,0
828,-0.0473990996256687,35,0.04221954161640531,0,0
829,1.4859499399770055,35,0.04216867469879518,0,0
830,-1.3345634405165647,70,0.0842358604091456,0,0
831,-0.8945584352739666,282,0.3389423076923077,0,0
832,-0.7767835281758508,35,0.04201680672268908,0,0
833,0.4170270828145193,399,0.4784172661870504,0,0
834,-0.5664922120913418,35,0.041916167664670656,0,0
835,0.1143812929144462,141,0.1686602870813397,0,0
836,-0.3090394392861587,49,0.05854241338112306,0,0
837,0.3172021423948358,49,0.05847255369928401,0,0
838,-1.2789026925084597,49,0.058402860548271755,0,0
839,0.5558254271041125,282,0.3357142857142857,0,0
840,0.0571076251272211,282,0.33531510107015455,0,0
841,0.9028222431454686,49,0.05819477434679335,0,0
842,-0.064726727971283,70,0.0830367734282325,0,0
843,1.5815664819021145,49,0.058056872037914695,0,0
844,0.5897663088341891,399,0.47218934911242605,0,0
845,0.4141501444777835,49,0.057919621749408984,0,0
846,1.8685757350418828,49,0.05785123966942149,0,0
847,1.2349959462091489,49,0.05778301886792453,0,0
848,2.056381736705317,49,0.05771495877502945,0,0
849,1.6359100524898624,49,0.05764705882352941,0,0
850,2.121917759311623,49,0.057579318448883664,0,0
851,0.7902265706412179,399,0.46830985915492956,0,0
852,2.59486098711575,49,0.05744431418522861,0,0
853,0.8150101728005891,399,0.4672131147540984,0,0
854,3.496239257909852,49,0.05730994152046784,0,0
855,0.2863234989404445,399,0.4661214953271028,0,0
856,2.407826542142834,49,0.057176196032672114,0,0
857,-0.5456089701118483,399,0.46503496503496505,0,0
858,3.224662533236385,399,0.46449359720605354,0,0
859,-0.459381114712141,282,0.32790697674418606,0,0
860,2.360088069714114,399,0.4634146341463415,0,0
861,-1.6090002565541277,35,0.04060324825986079,0,0
862,4.6670032467540095,35,0.04055619930475087,0,0
863,-1.266891215887324,35,0.04050925925925926,0,0
864,3.556133119806103,35,0.04046242774566474,0,0
865,-1.5145178911463786,35,0.04041570438799076,0,0
866,4.355278119165594,35,0.040369088811995385,0,0
867,-1.5597987217425806,35,0.04032258064516129,0,0
868,2.8242705348879342,35,0.04027617951668585,0,0
869,-1.4126712110316064,399,0.4586206896551724,0,0
870,4.1558139140686805,399,0.4580941446613088,0,0
871,0.0575137325115415,35,0.040137614678899085,0,0
872,5.0601703615341584,35,0.04009163802978236,0,0
873,-0.5220773844755723,35,0.04004576659038902,0,0
874,3.116357076557295,49,0.056,0,0
875,-0.7604490592396109,35,0.03995433789954338,0,0
876,2.3830759586786168,35,0.039908779931584946,0,0
877,-0.619824112137665,35,0.03986332574031891,0,0
878,3.0557964752494,35,0.03981797497155859,0,0
879,-1.0593330303530086,35,0.03977272727272727,0,0
880,1.9664773869043568,35,0.039727582292849034,0,0
881,-1.9937802160670524,282,0.3197278911564626,0,0
882,2.4731292162724636,70,0.07927519818799547,0,0
883,-1.3361938980332635,399,0.4513574660633484,0,0
884,3.0923200603705165,49,0.05536723163841808,0,0
885,-2.426632606399204,70,0.07900677200902935,0,0
886,2.2688169179120163,399,0.44983089064261556,0,0
887,-0.8397902674694793,49,0.05518018018018018,0,0
888,2.4151259589773715,399,0.44881889763779526,0,0
889,0.4733799184659026,70,0.07865168539325842,0,0
890,3.1356336882212186,49,0.05499438832772166,0,0
891,1.217635884217258,141,0.15807174887892378,0,0
892,2.2280406566228264,49,0.054871220604703244,0,0
893,1.036189812892488,399,0.4463087248322148,0,0
894,2.3457756216723142,49,0.054748603351955305,0,0
895,3.3277865127187107,49,0.0546875,0,0
896,2.8968819826943997,49,0.054626532887402456,0,0
897,2.9534176281254534,49,0.05456570155902005,0,0
898,2.856317830597803,49,0.054505005561735265,0,0
899,3.14882237404721,49,0.05444444444444444,0,0
900,2.439671869579469,35,0.038845726970033294,0,0
901,3.620397798527679,49,0.05432372505543237,0,0
902,3.3656022841956803,35,0.03875968992248062,0,0
903,5.780786896777046,35,0.03871681415929203,0,0
904,4.651438270429701,35,0.03867403314917127,0,0
905,5.599546901670819,49,0.05408388520971302,0,0
906,3.686197639838755,35,0.03858875413450937,0,0
907,3.920747199464451,49,0.053964757709251104,0,0
908,4.413213100177231,35,0.03850385038503851,0,0
909,4.844832246673438,35,0.038461538461538464,0,0
910,5.560910508747179,35,0.038419319429198684,0,0
911,4.788653516522633,35,0.03837719298245614,0,0
912,5.136165158643467,49,0.05366922234392114,0,0
913,4.354278752313763,35,0.038293216630196934,0,0
914,5.556503543789015,35,0.03825136612021858,0,0
915,1.978769181344454,35,0.03820960698689956,0,0
916,3.334661470307994,35,0.03816793893129771,0,0
917,-0.5997333119760895,35,0.03812636165577342,0,0
918,2.5803817920274223,35,0.03808487486398259,0,0
919,-0.5972309689004545,49,0.05326086956521739,0,0
920,3.5135540012208466,49,0.053203040173724216,0,0
921,-0.4266162957099326,35,0.03796095444685466,0,0
922,3.687982175260331,35,0.03791982665222102,0,0
923,-0.426458459324839,35,0.03787878787878788,0,0
924,2.8242538182583288,35,0.03783783783783784,0,0
925,-1.4110450913459494,35,0.03779697624190065,0,0
926,2.7799584949157787,35,0.037756202804746494,0,0
